----------------Q1/Q2.-----------------
total_vertexes = 1000
> Initialization...
> Huffman Coding...
> Huffman Coding Result : 
0 : 100011001, length = 9
1 : 0110111000, length = 10
2 : 01100010010, length = 11
3 : 101100101, length = 9
4 : 00111110101, length = 11
5 : 00111010000, length = 11
6 : 0111010001, length = 10
7 : 0101000010, length = 10
8 : 01000011001, length = 11
9 : 110111001, length = 9
10 : 0111101100, length = 10
11 : 000000011, length = 9
12 : 000000110, length = 9
13 : 1100101010, length = 10
14 : 0110000111001, length = 13
15 : 111001101, length = 9
16 : 100010101, length = 9
17 : 0100001000, length = 10
18 : 10011011011, length = 11
19 : 1100011011, length = 10
20 : 0111101110, length = 10
21 : 01110011111, length = 11
22 : 0101001101, length = 10
23 : 110101001, length = 9
24 : 01001110001, length = 11
25 : 1110000001101, length = 13
26 : 0011010000, length = 10
27 : 0110100101010, length = 13
28 : 01000110000010, length = 14
29 : 0101100101, length = 10
30 : 000011000, length = 9
31 : 0100011010, length = 10
32 : 0111010010, length = 10
33 : 001100011, length = 9
34 : 110111010101, length = 12
35 : 0111100011, length = 10
36 : 001010111, length = 9
37 : 00110110010, length = 11
38 : 11101010011, length = 11
39 : 101101010, length = 9
40 : 110110100, length = 9
41 : 000010111, length = 9
42 : 111011100, length = 9
43 : 110111011, length = 9
44 : 100111101, length = 9
45 : 0010001101, length = 10
46 : 00110010110, length = 11
47 : 0110100011, length = 10
48 : 100001000, length = 9
49 : 0101000111001, length = 13
50 : 110010010, length = 9
51 : 1100000011, length = 10
52 : 1100001001, length = 10
53 : 1110100010, length = 10
54 : 0100000110, length = 10
55 : 101110110, length = 9
56 : 110001100, length = 9
57 : 000111100, length = 9
58 : 1000101111, length = 10
59 : 0101010101, length = 10
60 : 0111000111, length = 10
61 : 100000010, length = 9
62 : 0110010100, length = 10
63 : 0101010110, length = 10
64 : 0101110101, length = 10
65 : 0100110100, length = 10
66 : 11111110110110, length = 14
67 : 0011100011, length = 10
68 : 0110100101011, length = 13
69 : 1110111010, length = 10
70 : 01101100001, length = 11
71 : 01101111000, length = 11
72 : 01001011111, length = 11
73 : 01010111001, length = 11
74 : 0110001000, length = 10
75 : 0111011000, length = 10
76 : 111111111, length = 9
77 : 00001010000, length = 11
78 : 0101000011, length = 10
79 : 0111111011010, length = 13
80 : 011110010000, length = 12
81 : 110001010, length = 9
82 : 01111101000, length = 11
83 : 0100101011, length = 10
84 : 10000111000, length = 11
85 : 111111100, length = 9
86 : 111011010, length = 9
87 : 0011000010100, length = 13
88 : 00010010111, length = 11
89 : 01010001010, length = 11
90 : 01101001011, length = 11
91 : 000001000010, length = 12
92 : 100111110, length = 9
93 : 0110010101, length = 10
94 : 1001000000, length = 10
95 : 100101001, length = 9
96 : 0101110111110, length = 13
97 : 0011111110, length = 10
98 : 0100100111, length = 10
99 : 0011110110, length = 10
100 : 110000011, length = 9
101 : 01000111011, length = 11
102 : 0001001010, length = 10
103 : 0000011010, length = 10
104 : 000101001, length = 9
105 : 001100010, length = 9
106 : 0101110111100, length = 13
107 : 1010001111, length = 10
108 : 00100110110, length = 11
109 : 0010011011110, length = 13
110 : 01000101011, length = 11
111 : 0110000000, length = 10
112 : 101110010, length = 9
113 : 1001011110, length = 10
114 : 000011111, length = 9
115 : 011101100110, length = 12
116 : 1010011111001, length = 13
117 : 110100111, length = 9
118 : 001110110110, length = 12
119 : 0011000010101, length = 13
120 : 01101100000, length = 11
121 : 011100111101, length = 12
122 : 0010011111, length = 10
123 : 11000110100, length = 11
124 : 111011000, length = 9
125 : 0111110011, length = 10
126 : 000111010, length = 9
127 : 0010110010, length = 10
128 : 0111001111000, length = 13
129 : 1100100011, length = 10
130 : 0010001100, length = 10
131 : 0100001111, length = 10
132 : 110000010, length = 9
133 : 1111010010, length = 10
134 : 1111101101, length = 10
135 : 00001010001, length = 11
136 : 110100100, length = 9
137 : 000001000011, length = 12
138 : 001100001001, length = 12
139 : 101101111, length = 9
140 : 1011111000, length = 10
141 : 001100001000, length = 12
142 : 1000001111, length = 10
143 : 1100001000, length = 10
144 : 0001000010, length = 10
145 : 101001001, length = 9
146 : 001101010101, length = 12
147 : 000010101, length = 9
148 : 0011111101, length = 10
149 : 111000101, length = 9
150 : 011101111000, length = 12
151 : 0101101011, length = 10
152 : 0101110110, length = 10
153 : 11000110101, length = 11
154 : 0011011101, length = 10
155 : 10101100001, length = 11
156 : 10001110000, length = 11
157 : 01011010011, length = 11
158 : 0000100010, length = 10
159 : 110011011, length = 9
160 : 0100011100, length = 10
161 : 10100001100, length = 11
162 : 010010001100, length = 12
163 : 0110000100, length = 10
164 : 01011011111, length = 11
165 : 0111101111, length = 10
166 : 101001011, length = 9
167 : 001000000, length = 9
168 : 0011111011, length = 10
169 : 101100110, length = 9
170 : 0001100100, length = 10
171 : 0111111100, length = 10
172 : 101010000, length = 9
173 : 0100010001, length = 10
174 : 111111101101111, length = 15
175 : 1000111001, length = 10
176 : 1101000100, length = 10
177 : 111100001, length = 9
178 : 0101101110, length = 10
179 : 0101011101, length = 10
180 : 000011101, length = 9
181 : 101110100, length = 9
182 : 001001000, length = 9
183 : 000001001, length = 9
184 : 010100011101, length = 12
185 : 001110011110, length = 12
186 : 110010100, length = 9
187 : 101001101, length = 9
188 : 1111010011111, length = 13
189 : 0100010111, length = 10
190 : 010010001110, length = 12
191 : 0111100000, length = 10
192 : 1111010011110, length = 13
193 : 0011111100, length = 10
194 : 010101101110, length = 12
195 : 111101011, length = 9
196 : 100100110, length = 9
197 : 0011100101, length = 10
198 : 100001111, length = 9
199 : 111011001, length = 9
200 : 0101011010, length = 10
201 : 110011000, length = 9
202 : 0011100110, length = 10
203 : 0100101100, length = 10
204 : 101011111, length = 9
205 : 01010011111, length = 11
206 : 0101100001111, length = 13
207 : 1000101110, length = 10
208 : 110101111, length = 9
209 : 010001110101, length = 12
210 : 0100111100110011, length = 16
211 : 1001001001, length = 10
212 : 1100001101, length = 10
213 : 000001101111, length = 12
214 : 000110110, length = 9
215 : 0101101101, length = 10
216 : 0111000010, length = 10
217 : 101011110, length = 9
218 : 01101101100, length = 11
219 : 0111110111, length = 10
220 : 0101011111, length = 10
221 : 111000110, length = 9
222 : 00111011100, length = 11
223 : 101000000, length = 9
224 : 0101000001, length = 10
225 : 0000001001, length = 10
226 : 010001100001, length = 12
227 : 0011110101, length = 10
228 : 1100101011, length = 10
229 : 111010011, length = 9
230 : 110001111, length = 9
231 : 111111011, length = 9
232 : 0100111111, length = 10
233 : 000011110, length = 9
234 : 11010001010, length = 11
235 : 101010001, length = 9
236 : 10111100000, length = 11
237 : 001000010, length = 9
238 : 11101110111, length = 11
239 : 0101110100, length = 10
240 : 1010110001, length = 10
241 : 0100101000, length = 10
242 : 110110111, length = 9
243 : 0000101001, length = 10
244 : 111001001, length = 9
245 : 01111110110111, length = 14
246 : 0100000111, length = 10
247 : 0101111101, length = 10
248 : 01100110111001, length = 14
249 : 000111000, length = 9
250 : 01111101001, length = 11
251 : 0111110110, length = 10
252 : 010001110100, length = 12
253 : 0110101011, length = 10
254 : 0111111001, length = 10
255 : 11101110110, length = 11
256 : 0000100101, length = 10
257 : 0100000010, length = 10
258 : 111100101, length = 9
259 : 0111000101, length = 10
260 : 0100011011, length = 10
261 : 010011001011, length = 12
262 : 0101111000, length = 10
263 : 0101011011000, length = 13
264 : 0110101001, length = 10
265 : 1110101110, length = 10
266 : 011001001111, length = 12
267 : 01101010001, length = 11
268 : 0100100000, length = 10
269 : 110011010, length = 9
270 : 0111011100, length = 10
271 : 0011110011, length = 10
272 : 111000010, length = 9
273 : 00000101111, length = 11
274 : 111010111110, length = 12
275 : 010000000110, length = 12
276 : 10100111110001, length = 14
277 : 0101101010, length = 10
278 : 00010000111, length = 11
279 : 1000000110, length = 10
280 : 100011000, length = 9
281 : 111001000, length = 9
282 : 000101101, length = 9
283 : 01001110000, length = 11
284 : 11111010001, length = 11
285 : 0110011110, length = 10
286 : 10010010001, length = 11
287 : 000111111, length = 9
288 : 111011111, length = 9
289 : 01011010010, length = 11
